id,cliente,brand_nome,brand_tono_di_voce,caption,claim_garantito,claim_sanitario,dato_non_verificabile,urgenza_ingannevole,prezzo_esplicito,nomina_competitor,tono_brand,categoria,verdetto_umano,note
SIN-011,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","Oggi il ragu' e' quello della domenica: sette ore sul fuoco. Finche' dura.",no,no,no,no,no,no,3,promo,pass,urgenza vera e verificabile
SIN-012,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","LA MIGLIORE CARBONARA DI TORINO! Provare per credere! Prenota SUBITO, posti limitatissimi!!!",no,no,si,si,no,no,0,promo,review,tono fuori e claim non verificabile
SIN-013,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","Menu degustazione 5 portate a 45 euro, vini esclusi. Tutti i giovedi'.",no,no,no,no,si,no,3,promo,review,
SIN-014,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","Nonna Elsa ha 84 anni e tira ancora la sfoglia ogni mattina. Il video parla da solo.",no,no,no,no,no,no,3,storytelling,pass,
SIN-015,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","Ultimi tavoli per sabato! Affrettatevi!",no,no,no,si,no,no,1,promo,review,urgenza senza numero concreto
SIN-016,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","Voi da che parte state: carbonara con o senza pepe in grani? Diteci nei commenti.",no,no,no,no,no,no,3,engagement,pass,
SIN-017,hotel-riviera,Hotel Riviera,"Elegante ma non snob. Evoca l'esperienza, non elenca servizi. Mai aggressivo sul prezzo.","La colazione arriva in terrazza alle 8. Il mare fa il resto.",no,no,no,no,no,no,3,storytelling,pass,
SIN-018,hotel-riviera,Hotel Riviera,"Elegante ma non snob. Evoca l'esperienza, non elenca servizi. Mai aggressivo sul prezzo.","OFFERTA BOMBA! -50% SOLO OGGI! Camere quasi finite, corri a prenotare!!!",no,no,no,si,si,no,0,promo,review,tono completamente fuori
SIN-019,hotel-riviera,Hotel Riviera,"Elegante ma non snob. Evoca l'esperienza, non elenca servizi. Mai aggressivo sul prezzo.","Doppia vista mare da 180 euro a notte, colazione inclusa, da ottobre a marzo.",no,no,no,no,si,no,3,promo,review,
SIN-020,hotel-riviera,Hotel Riviera,"Elegante ma non snob. Evoca l'esperienza, non elenca servizi. Mai aggressivo sul prezzo.","Siamo l'hotel piu' amato della costa secondo il 95% degli ospiti.",no,no,si,no,no,no,1,promo,review,percentuale senza fonte
SIN-021,hotel-riviera,Hotel Riviera,"Elegante ma non snob. Evoca l'esperienza, non elenca servizi. Mai aggressivo sul prezzo.","Tre sentieri che partono a piedi dalla hall. Ve li raccontiamo uno alla volta.",no,no,no,no,no,no,3,educativo,pass,
SIN-022,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Perdi 10 chili in un mese, garantito. Se non funziona ti ridiamo i soldi.",si,no,no,no,no,no,0,promo,block,
SIN-023,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Non esiste il corpo pronto per l'estate. Esiste il corpo che hai oggi e cosa vuoi farci.",no,no,no,no,no,no,3,storytelling,pass,
SIN-024,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Il nostro protocollo cura il mal di schiena cronico in 8 sedute.",si,si,no,no,no,no,0,promo,block,claim sanitario e garanzia
SIN-025,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Abbonamento annuale 480 euro, rateizzabile. Nessun vincolo di rinnovo.",no,no,no,no,si,no,3,promo,review,
SIN-026,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Tre esercizi per la mobilita' dell'anca da fare a casa, senza attrezzi.",no,no,no,no,no,no,3,educativo,pass,
SIN-027,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Iscrizioni aperte per 48 ore. Poi chiudiamo le liste fino a gennaio.",no,no,no,no,no,no,2,promo,pass,urgenza con scadenza precisa
SIN-028,edile-rossi,Costruzioni Rossi,"Concreto e tecnico. Parla di lavori fatti, tempi e materiali. Niente enfasi commerciale.","Cappotto termico da 12 cm, posa in tre settimane. Le foto sono del cantiere di via Garibaldi.",no,no,no,no,no,no,3,educativo,pass,
SIN-029,edile-rossi,Costruzioni Rossi,"Concreto e tecnico. Parla di lavori fatti, tempi e materiali. Niente enfasi commerciale.","Ti garantiamo il 110% di detrazione senza anticipare un euro. Sicuro al 100%.",si,no,si,no,no,no,0,promo,block,garanzia su materia fiscale
SIN-030,edile-rossi,Costruzioni Rossi,"Concreto e tecnico. Parla di lavori fatti, tempi e materiali. Niente enfasi commerciale.","Preventivo gratuito e sopralluogo entro 5 giorni lavorativi.",no,no,no,no,no,no,3,promo,pass,
SIN-031,edile-rossi,Costruzioni Rossi,"Concreto e tecnico. Parla di lavori fatti, tempi e materiali. Niente enfasi commerciale.","Le altre imprese vi lasciano il cantiere aperto per mesi. Noi no.",no,no,no,no,no,si,1,promo,review,denigra la concorrenza
SIN-032,edile-rossi,Costruzioni Rossi,"Concreto e tecnico. Parla di lavori fatti, tempi e materiali. Niente enfasi commerciale.","Ristrutturazione completa 85 mq: 62.000 euro chiavi in mano, IVA inclusa.",no,no,no,no,si,no,3,promo,review,
SIN-033,moda-lina,Atelier Lina,"Femminile, curato, un po' poetico. Parla di tessuti e mani. Mai svendita.","Il lino che usiamo arriva da una filanda di Biella che lavora da quattro generazioni.",no,no,no,no,no,no,3,storytelling,pass,
SIN-034,moda-lina,Atelier Lina,"Femminile, curato, un po' poetico. Parla di tessuti e mani. Mai svendita.","SALDI PAZZI! TUTTO A META' PREZZO! ULTIMI GIORNI! CORRETE!",no,no,no,si,si,no,0,promo,review,tono opposto al brand
SIN-035,moda-lina,Atelier Lina,"Femminile, curato, un po' poetico. Parla di tessuti e mani. Mai svendita.","Nuova capsule disponibile in atelier da giovedi'. Pezzi unici, numerati.",no,no,no,no,no,no,3,promo,pass,
SIN-036,moda-lina,Atelier Lina,"Femminile, curato, un po' poetico. Parla di tessuti e mani. Mai svendita.","Il nostro tessuto e' piu' resistente di quello di Zara e costa meno.",no,no,si,no,si,si,1,promo,review,competitor esplicito
SIN-037,b2b-logic,Logic Partners,"Sobrio e competente. Parla di problemi aziendali concreti. Niente hype sull'AI.","Come abbiamo ridotto di 11 giorni il ciclo ordine-consegna di un cliente manifatturiero. Caso studio nei commenti.",no,no,no,no,no,no,3,educativo,pass,dato specifico ma con fonte citata
SIN-038,b2b-logic,Logic Partners,"Sobrio e competente. Parla di problemi aziendali concreti. Niente hype sull'AI.","L'AI aumentera' il tuo fatturato del 40% garantito. Prenota la demo prima che sia tardi.",si,no,si,si,no,no,0,promo,block,
SIN-039,b2b-logic,Logic Partners,"Sobrio e competente. Parla di problemi aziendali concreti. Niente hype sull'AI.","Il 70% dei progetti di digitalizzazione fallisce. Di solito non per la tecnologia.",no,no,si,no,no,no,3,educativo,review,statistica plausibile ma senza fonte
SIN-040,b2b-logic,Logic Partners,"Sobrio e competente. Parla di problemi aziendali concreti. Niente hype sull'AI.","Audit dei processi: 3.500 euro, due settimane, un documento operativo alla fine.",no,no,no,no,si,no,3,promo,review,
SIN-041,b2b-logic,Logic Partners,"Sobrio e competente. Parla di problemi aziendali concreti. Niente hype sull'AI.","Qual e' il processo che nella vostra azienda tutti odiano ma nessuno cambia?",no,no,no,no,no,no,3,engagement,pass,
SIN-042,dental-sorriso,Studio Sorriso,"Rassicurante e chiaro. Spiega le procedure. Non minimizza i rischi.","L'impianto guarisce in 3 mesi e dura tutta la vita, garantito.",si,si,no,no,no,no,0,promo,block,
SIN-043,dental-sorriso,Studio Sorriso,"Rassicurante e chiaro. Spiega le procedure. Non minimizza i rischi.","Cosa succede davvero durante una devitalizzazione: te lo spieghiamo senza girarci intorno.",no,no,no,no,no,no,3,educativo,pass,
SIN-044,dental-sorriso,Studio Sorriso,"Rassicurante e chiaro. Spiega le procedure. Non minimizza i rischi.","Sbiancamento professionale 190 euro. Promozione valida fino a fine mese.",no,no,no,no,si,no,3,promo,review,
SIN-045,dental-sorriso,Studio Sorriso,"Rassicurante e chiaro. Spiega le procedure. Non minimizza i rischi.","Il nostro laser elimina la carie senza trapano e senza dolore, sempre.",si,si,no,no,no,no,0,promo,block,
SIN-046,turismo-vela,Vela Experience,"Avventuroso ma responsabile. Parla di mare e sicurezza. Niente toni da discoteca.","Uscita al tramonto, massimo 8 persone a bordo. Si parte dal molo alle 18:30.",no,no,no,no,no,no,3,promo,pass,
SIN-047,turismo-vela,Vela Experience,"Avventuroso ma responsabile. Parla di mare e sicurezza. Niente toni da discoteca.","BOAT PARTY! Alcol illimitato! Ultimi posti! Non puoi mancare!!!",no,no,no,si,no,no,0,promo,review,tono fuori dal brand
SIN-048,turismo-vela,Vela Experience,"Avventuroso ma responsabile. Parla di mare e sicurezza. Niente toni da discoteca.","Giubbotto salvagente per tutti, sempre. Anche quando il mare sembra una tavola.",no,no,no,no,no,no,3,educativo,pass,
SIN-049,turismo-vela,Vela Experience,"Avventuroso ma responsabile. Parla di mare e sicurezza. Niente toni da discoteca.","Mezza giornata 120 euro a persona, giornata intera 200. Pranzo a bordo incluso.",no,no,no,no,si,no,3,promo,review,
SIN-050,turismo-vela,Vela Experience,"Avventuroso ma responsabile. Parla di mare e sicurezza. Niente toni da discoteca.","Siamo l'unica barca autorizzata in tutta la baia.",no,no,si,no,no,si,2,promo,review,claim di esclusivita' non verificabile
SIN-051,ristorante-navona,Trattoria Navona,"Caldo, familiare, genuino. Parla di ingredienti e persone. Niente superlativi pubblicitari.","Da noi la pizza non arriva su Deliveroo: si mangia qui, appena sfornata.",no,no,no,no,no,si,3,educativo,pass,competitor nominato ma senza denigrare
SIN-052,palestra-forma,Forma Studio,"Diretto e motivante, mai colpevolizzante. Niente body shaming. Parla di costanza, non di trasformazioni rapide.","Alle catene tipo McFit interessa il numero di tessere. A noi chi entra dalla porta.",no,no,no,no,no,si,1,promo,review,denigrazione esplicita
SIN-053,b2b-logic,Logic Partners,"Sobrio e competente. Parla di problemi aziendali concreti. Niente hype sull'AI.","Usiamo Salesforce e HubSpot quando servono davvero, non per default.",no,no,no,no,no,si,3,educativo,pass,marchi citati come strumenti non come rivali
